"uuid";"unique_person_id";"role";"sex"
"3fad0b5d-dd28-1b38-1662-b5faee1376b9";31;"[5]";"v"
"98accc4c-dff5-fe63-75e8-256135d0b110";31;"[5]";"v"
"c9c55198-1ccf-054b-d1d0-7762e2cdc85f";31;"[6]";"v"
"439936d0-4cd0-4062-03b4-e1a57ea2ecbc";31;"[6]";"v"
"0bf3c26a-f41e-9bb8-4eda-a225b1b48711";31;"[6]";"v"
"10db1a55-3c5e-cdd7-b24c-fbe50ce45479";31;"[1]";"v"
"0f0b3fc5-ea2c-12a7-a6a4-c59e43c1e3c8";32;"[2, 3]";"m"
"23d770f2-00c3-ed97-a9a6-70de1bba7826";32;"[2, 3]";"m"
"8bca9397-a164-aca7-6395-65f5bf14fa0c";32;"[2, 3]";"m"
"b2255a39-3e72-e828-bd85-9ab40aa3b1de";32;"[2, 3]";"m"
"998304c6-a37f-f415-dadf-047a41bc7ac3";32;"[4]";"m"
"d59afe05-5705-fcc5-3226-5b2f5fce9ed3";32;"[4]";"m"
"d6754e4c-e19f-7fb3-e471-0f7762aceae9";32;"[4]";"m"
"dcdb7ca8-62c2-a018-884f-ab6989785527";32;"[4]";"m"
"5b551bc5-35bc-a273-ed24-e49345ef60ef";32;"[4]";"m"
"c1ae7d57-a30d-12c0-db64-ecb3ade1bc34";32;"[4]";"m"
"27eb0bb1-94a1-78fe-9e3c-b7b573e7307e";32;"[4]";"m"
"e66fd95b-00ac-f549-df75-ff6dfceca03d";32;"[4]";"m"
"2a899782-eda2-c8f8-8cc7-5830bb280a0f";32;"[5]";"m"
"df8c6eba-8fd9-59ca-ff47-4f8257c8b08a";32;"[6]";"m"
"51644abf-97e8-afd0-0f06-b4c69f13a871";32;"[6]";"m"
"6cf89cbf-28f1-a6a0-34db-e9a36877d17d";32;"[6]";"m"
"c1e758d2-280a-6c6f-1bb8-d5c11a795c84";32;"[1]";"m"
"a8f920e2-417f-1dcb-ab8a-92fa4bffe86a";33;"[2, 3]";"v"
"e373ec7f-4bbf-285d-35c1-279bebf57ee2";33;"[2, 3]";"v"
"6da81edf-7db7-48ce-687f-ebd8fef7c7df";33;"[2, 3]";"v"
"15a737f2-93d7-440d-63dd-e2ad46e1b6ec";33;"[2, 3]";"v"
"bb1092cc-cc6c-f168-4401-e827c6e55758";33;"[4]";"v"
"22243552-709d-db95-49a1-1b9fe2af68fc";33;"[4]";"v"
"5e4300bc-8f7e-cba8-bd41-36a0249e79b8";33;"[4]";"v"
"00e86f91-fc8e-fef8-f682-bc7bfc9d6342";33;"[4]";"v"
"7bcdf814-c194-49da-8fee-6bc8ce2d920f";33;"[4]";"v"
"a6412fa6-73e7-3477-97ae-10ac395f59f9";33;"[4]";"v"
"b8047611-53dd-b130-262a-9eaf35af47b1";33;"[4]";"v"
"e684fa20-7e68-010b-5b02-32c1b751d26b";33;"[4]";"v"
"6ce44f5d-8427-1443-b172-e9560fcc1c6f";33;"[5]";"v"
"4bb58ae2-0463-aafe-25a6-e934a6ef849b";33;"[6]";"v"
"7daf0a86-a491-5714-413c-d8fe7e066437";33;"[6]";"v"
"9cfe310f-967e-9657-8b76-b15059ecafff";33;"[6]";"v"
"f3dafad2-04de-e027-c9c1-56c18e9b4a4f";33;"[1]";"v"
"004e0b65-4d71-a801-87c0-8509e0fbe73f";34;"[2, 3]";"m"
"c40005a9-a0ad-1b97-8793-38339ce3c9cf";34;"[2, 3]";"m"
"05a2a224-0adc-7e4a-d47b-274db5352218";34;"[2, 3]";"m"
"2570e48c-8656-2370-155d-32a336469e72";34;"[2, 3]";"m"
"5bf6f84e-5718-b107-f6fc-452aa989a48d";34;"[2, 3]";"m"
"52079579-2a1e-bb7d-b9df-597e85bedf4d";34;"[2, 3]";"m"
"81f00acd-1e99-9e2c-d65f-3c57c65972ec";34;"[2, 3]";"m"
"c8502747-f8d3-5253-4ab3-4fec373ab6c6";34;"[2, 3]";"m"
"98288e3e-b115-001e-1c41-8bc908cac201";34;"[4]";"m"
"cbaa3e66-0a6c-7b87-4edd-e215f7652a0d";34;"[4]";"m"
"c570e230-8573-02a0-4e5a-194d562ecb05";34;"[4]";"m"
"90af9299-d633-2774-d50d-7afd45f99c8f";34;"[4]";"m"
"51865a49-3187-61aa-2802-7650f748ad42";34;"[4]";"m"
