parents_id;partners_id;groom;father;bride;mother;distance;length partners;length parents;years_between
31947;25754;154524;191686;154527;191687;1;28;27;24
31947;3490;20940;191683;20943;191684;1;27;26;18
47999;31266;187596;287998;187599;287999;3;31;31;26
48194;44710;268260;289165;268263;289166;2;32;32;26
79347;74237;445422;476086;445425;476087;0;30;30;23
34041;68776;412656;204247;412659;204248;2;35;33;22
35231;34659;207954;211387;207957;211388;0;27;27;25
9527;77780;466680;57163;466683;57164;0;31;31;23
49182;38179;229074;295096;229077;295097;0;29;29;26
92087;44736;268416;552526;268419;552527;1;30;29;24
96327;69742;418452;577963;418455;577964;0;39;39;24
99404;40925;245550;596425;245553;596426;3;35;35;22
90756;20205;121230;544540;121233;544541;1;37;38;24
81930;78399;470394;491584;470397;491585;0;40;40;25
42768;984;5904;256609;5907;256610;1;39;39;22
56259;53338;320028;337558;320031;337559;0;49;49;23
73247;96357;578142;439483;578145;439484;1;38;38;25
389;31887;191322;2335;191325;2336;0;28;28;18
71525;99073;594438;429154;594441;429155;0;38;38;24
21;55423;332538;130;332541;131;2;31;33;17
66837;59809;358854;401023;358857;401024;2;31;33;21
47661;32786;196716;285970;196719;285971;2;27;29;18
73881;86630;519780;443287;519783;443288;0;34;34;24
51576;78575;471450;309460;471453;309461;0;39;39;23
72274;58796;352776;433648;352779;433649;0;33;33;21
73718;65962;395772;442309;395775;442310;0;44;44;23
29956;19587;117522;179740;117525;179741;0;33;33;27
49441;83506;501036;296650;501039;296651;3;35;32;16
53886;10875;65250;323320;65253;323321;3;35;36;26
25529;78185;469110;153175;469113;153176;1;29;30;25
49427;91616;549696;296566;549699;296567;1;35;34;25
78973;12311;73866;473842;73869;473843;1;36;35;24
43197;100465;602790;259186;602793;259187;3;28;31;25
48912;96286;577716;293476;577719;293477;0;30;30;19
63464;94364;566184;380785;566187;380786;0;28;28;23
49710;28882;173292;298264;173295;298265;3;34;31;24
74373;20307;121842;446242;121845;446243;1;35;34;18
19792;24139;144834;118753;144837;118754;1;43;42;22
59215;74521;447126;355291;447129;355292;1;46;47;18
1704;30188;181128;10228;181131;10229;3;42;44;21
96555;29028;174168;579331;174171;579332;0;35;35;25
8265;28549;171294;49594;171297;49595;1;26;26;20
24485;90826;544956;146914;544959;146915;0;30;30;22
42487;37548;225288;254926;225291;254927;0;28;28;27
33364;29020;174120;200188;174123;200189;0;32;32;21
95920;56224;337344;575524;337347;575525;1;30;30;27
10056;2512;15072;60340;15075;60341;0;36;36;25
10056;65968;395808;60337;395811;60338;0;27;27;24
69839;56777;340662;419035;340665;419036;3;34;34;25
837;29780;178680;5026;178683;5027;0;27;27;26
71728;84344;506064;430372;506067;430373;1;55;55;26
59921;94441;566646;359530;566649;359531;0;32;32;26
49405;59382;356292;296431;356295;296432;0;31;31;25
96861;30641;183846;581170;183849;581171;1;29;30;19
4476;95123;570738;26857;570741;26858;1;25;25;25
83692;25617;153702;502156;153705;502157;2;31;32;24
8331;23402;140412;49990;140415;49991;3;32;32;28
12154;87309;523854;72928;523857;72929;0;33;33;24
77077;52970;317820;462463;317823;462464;0;26;26;26
14464;78881;473286;86785;473289;86786;0;40;40;27
16698;95264;571584;100189;571587;100190;3;31;34;22
41718;30781;184686;250312;184689;250313;3;37;37;27
949;98543;591258;5698;591261;5699;3;42;44;22
82113;31355;188130;492682;188133;492683;0;35;35;28
83257;2714;16284;499543;16287;499544;0;24;24;24
44072;1026;6156;264436;6159;264437;0;40;40;24
69080;12359;74154;414484;74157;414485;0;36;36;27
7234;52327;313962;43408;313965;43409;1;36;35;24
24904;73159;438954;149428;438957;149429;0;29;29;28
6458;13005;78030;38752;78033;38753;0;41;41;25
19896;532;3192;119380;3195;119381;0;34;34;26
28113;44736;268416;168679;268419;168680;0;30;30;25
57655;39391;236346;345934;236349;345935;1;36;37;22
76569;82189;493134;459418;493137;459419;0;30;30;25
28439;45990;275940;170638;275943;170639;0;49;49;27
39846;150;900;239077;903;239078;1;30;30;25
7773;38179;229074;46642;229077;46643;0;29;29;27
68000;73797;442782;408004;442785;408005;1;55;54;26
84972;30796;184776;509836;184779;509837;3;45;45;22
87138;92675;556050;522829;556053;522830;3;48;49;24
22234;65264;391584;133405;391587;133406;2;35;35;25
4568;73035;438210;27412;438213;27413;0;35;35;27
23631;37059;222354;141787;222357;141788;2;25;26;24
59829;93641;561846;358978;561849;358979;1;38;37;24
59829;4549;27294;358975;27297;358976;2;34;34;23
95309;60053;360318;571855;360321;571856;1;36;37;25
40124;64875;389250;240748;389253;240749;2;30;31;23
54181;60823;364938;325090;364941;325091;0;33;33;24
74260;14871;89226;445564;89229;445565;1;33;33;28
86083;20634;123804;516502;123807;516503;0;34;34;23
25253;38747;232482;151519;232485;151520;1;63;63;26
25253;87441;524646;151522;524649;151523;0;49;49;25
33315;59240;355440;199894;355443;199895;0;36;36;26
51102;38747;232482;306616;232485;306617;1;63;63;26
51102;87441;524646;306613;524649;306614;0;49;49;25
21402;10181;61086;128413;61089;128414;1;34;34;26
21402;68181;409086;128416;409089;128417;0;40;40;23
15951;99636;597816;95707;597819;95708;1;34;35;26
98534;59907;359442;591208;359445;591209;0;35;35;26
77266;7056;42336;463597;42339;463598;0;31;31;25
92400;61655;369930;554404;369933;554405;0;39;39;24
30780;25526;153156;184681;153159;184682;1;34;34;18
59839;90264;541584;359038;541587;359039;3;30;29;26
83565;91411;548466;501394;548469;501395;2;32;32;24
35308;28542;171252;211852;171255;211853;0;33;33;27
71333;85313;511878;428002;511881;428003;1;27;28;23
96739;52531;315186;580435;315189;580436;2;40;38;24
28009;34234;205404;168058;205407;168059;1;35;36;20
86374;17190;103140;518245;103143;518246;0;30;30;27
31804;19587;117522;190828;117525;190829;0;33;33;28
14694;38066;228396;88165;228399;88166;0;36;36;22
53110;11816;70896;318661;70899;318662;1;36;35;23
82627;93954;563724;495766;563727;495767;2;44;46;25
26159;31791;190746;156958;190749;156959;0;37;37;27
65128;45664;273984;390769;273987;390770;2;46;48;24
100668;6253;37518;604009;37521;604010;0;24;24;25
20043;95584;573504;120259;573507;120260;0;25;25;28
11510;4494;26964;69064;26967;69065;0;39;39;26
40068;31355;188130;240409;188133;240410;0;35;35;28
47914;17547;105282;287488;105285;287489;0;31;31;23
88656;100093;600558;531940;600561;531941;2;39;37;25
94494;100093;600558;566968;600561;566969;2;39;37;25
7675;1305;7830;46051;7833;46052;0;37;37;26
30656;21455;128730;183937;128733;183938;2;44;45;22
65960;44618;267708;395764;267711;395765;0;35;35;20
26090;75843;455058;156544;455061;156545;0;35;35;23
44815;34733;208398;268891;208401;268892;0;28;28;24
53634;27656;165936;321805;165939;321806;0;32;32;28
27244;65061;390366;163465;390369;163466;0;29;29;26
79128;58685;352110;474769;352113;474770;0;33;33;19
86624;73035;438210;519745;438213;519746;1;35;34;27
41109;43745;262470;246658;262473;246659;0;29;29;23
4745;35944;215664;28471;215667;28472;3;39;40;23
4745;27620;165720;28474;165723;28475;1;35;36;21
6482;58047;348282;38893;348285;38894;0;33;33;23
35622;3830;22980;213736;22983;213737;1;32;31;24
35622;89036;534216;213733;534219;213734;0;29;29;23
61426;89101;534606;368560;534609;368561;0;31;31;25
37902;68829;412974;227413;412977;227414;0;33;33;26
28811;25158;150948;172870;150951;172871;2;34;32;25
1653;5359;32154;9922;32157;9923;1;39;40;25
