id_certificate_parents,id_certificate_partners,family_line,levenshtein_total_bride,levenshtein_max_bride,levenshtein_total_groom,levenshtein_max_groom,matched_names_bride,number_names_mother,number_names_bride,matched_names_groom,number_names_father,number_names_groom,year_diff
100190,28459,21,0,0,0,0,3,3,3,1,1,1,61
100191,89050,21,0,0,0,0,1,1,1,1,1,1,31
100193,50360,21,0,0,0,0,1,1,1,1,1,1,41
100193,44889,22,0,0,0,0,1,1,1,1,1,1,46
100195,70904,21,0,0,0,0,2,2,2,2,2,2,28
100198,97413,21,0,0,0,0,1,1,1,1,1,1,42
100199,74232,21,0,0,1,1,1,1,1,1,1,1,37
1002,63277,21,0,0,0,0,2,2,2,2,2,2,26
100200,53249,21,0,0,0,0,1,1,1,1,1,1,30
100200,2284,22,0,0,0,0,1,1,1,1,1,1,40
100203,99179,21,0,0,0,0,1,1,1,1,1,1,48
100205,71890,21,0,0,0,0,1,1,1,1,1,1,30
100208,12225,21,0,0,0,0,1,1,1,1,1,1,33
100208,7885,22,0,0,0,0,1,1,1,1,1,1,25
100210,3838,21,0,0,0,0,2,2,2,1,1,1,22
100210,22204,22,0,0,0,0,1,1,1,1,1,1,27
100211,86311,21,0,0,0,0,1,1,1,1,1,1,32
100214,38523,21,1,1,0,0,1,1,1,1,1,1,33
100214,88132,22,0,0,0,0,1,1,1,1,1,1,28
100215,72240,21,0,0,0,0,1,1,1,2,2,2,27
100215,12877,22,0,0,0,0,2,2,2,2,2,2,24
100216,44351,22,1,0,0,0,2,2,2,2,2,2,30
100217,70596,21,1,0,0,0,1,1,1,1,1,1,43
100219,27837,21,1,0,0,0,1,1,1,1,1,1,26
100219,62689,22,0,0,0,0,2,2,2,1,1,1,24
10022,78562,21,0,0,0,0,1,1,1,1,1,1,28
10022,2769,22,0,0,0,0,1,1,1,2,2,2,25
100220,99980,22,0,0,0,0,1,1,1,1,1,1,46
100221,22738,21,0,0,0,0,1,1,1,1,1,1,21
100221,47842,22,0,0,0,0,1,1,1,1,1,1,24
