"type";"man_id";"woman_id";"child_id";"exception"
3;68944;68945;68943.0;"'NoneType' object is not subscriptable"
2;69691;69692;69690.0;"'NoneType' object is not subscriptable"
3;69856;69857;69855.0;"'NoneType' object is not subscriptable"
3;70414;70415;70413.0;"'NoneType' object is not subscriptable"
3;70654;70655;70653.0;"'NoneType' object is not subscriptable"
2;70711;70712;70710.0;"'NoneType' object is not subscriptable"
3;70714;70715;70713.0;"'NoneType' object is not subscriptable"
2;70717;70718;70716.0;"'NoneType' object is not subscriptable"
3;70720;70721;70719.0;"'NoneType' object is not subscriptable"
3;70858;70859;70857.0;"'NoneType' object is not subscriptable"
2;71017;71018;71016.0;"'NoneType' object is not subscriptable"
3;71518;71519;71517.0;"'NoneType' object is not subscriptable"
3;71818;71819;71817.0;"'NoneType' object is not subscriptable"
3;72256;72257;72255.0;"'NoneType' object is not subscriptable"
2;73117;73118;73116.0;"'NoneType' object is not subscriptable"
3;73120;73121;73119.0;"'NoneType' object is not subscriptable"
2;73159;73160;73158.0;"'NoneType' object is not subscriptable"
3;73360;73361;73359.0;"'NoneType' object is not subscriptable"
3;73756;73757;73755.0;"'NoneType' object is not subscriptable"
2;73819;73820;73818.0;"'NoneType' object is not subscriptable"
3;73822;73823;73821.0;"'NoneType' object is not subscriptable"
2;73993;73994;73992.0;"'NoneType' object is not subscriptable"
1;74166;74169;"";"'NoneType' object is not subscriptable"
2;74167;74168;74166.0;"'NoneType' object is not subscriptable"
3;74170;74171;74169.0;"'NoneType' object is not subscriptable"
2;74635;74636;74634.0;"'NoneType' object is not subscriptable"
3;74638;74639;74637.0;"'NoneType' object is not subscriptable"
3;74644;74645;74643.0;"'NoneType' object is not subscriptable"
2;74947;74948;74946.0;"'NoneType' object is not subscriptable"
2;75031;75032;75030.0;"'NoneType' object is not subscriptable"
3;75034;75035;75033.0;"'NoneType' object is not subscriptable"
3;75946;75947;75945.0;"'NoneType' object is not subscriptable"
3;75982;75983;75981.0;"'NoneType' object is not subscriptable"
2;76819;76820;76818.0;"'NoneType' object is not subscriptable"
3;77110;77111;77109.0;"'NoneType' object is not subscriptable"
2;77377;77378;77376.0;"'NoneType' object is not subscriptable"
3;77440;77441;77439.0;"'NoneType' object is not subscriptable"
2;78367;78368;78366.0;"'NoneType' object is not subscriptable"
3;78370;78371;78369.0;"'NoneType' object is not subscriptable"
3;79084;79085;79083.0;"'NoneType' object is not subscriptable"
3;79204;79205;79203.0;"'NoneType' object is not subscriptable"
3;79252;79253;79251.0;"'NoneType' object is not subscriptable"
2;80059;80060;80058.0;"'NoneType' object is not subscriptable"
3;80296;80297;80295.0;"'NoneType' object is not subscriptable"
2;80401;80402;80400.0;"'NoneType' object is not subscriptable"
3;80404;80405;80403.0;"'NoneType' object is not subscriptable"
2;80437;80438;80436.0;"'NoneType' object is not subscriptable"
2;80977;80978;80976.0;"'NoneType' object is not subscriptable"
3;80980;80981;80979.0;"'NoneType' object is not subscriptable"
1;80988;80991;"";"'NoneType' object is not subscriptable"
2;80989;80990;80988.0;"'NoneType' object is not subscriptable"
3;80992;80993;80991.0;"'NoneType' object is not subscriptable"
2;81457;81458;81456.0;"'NoneType' object is not subscriptable"
3;81490;81491;81489.0;"'NoneType' object is not subscriptable"
2;81673;81674;81672.0;"'NoneType' object is not subscriptable"
3;81676;81677;81675.0;"'NoneType' object is not subscriptable"
3;81724;81725;81723.0;"'NoneType' object is not subscriptable"
2;81865;81866;81864.0;"'NoneType' object is not subscriptable"
3;81868;81869;81867.0;"'NoneType' object is not subscriptable"
2;81961;81962;81960.0;"'NoneType' object is not subscriptable"
2;82159;82160;82158.0;"'NoneType' object is not subscriptable"
2;82219;82220;82218.0;"'NoneType' object is not subscriptable"
2;82435;82436;82434.0;"'NoneType' object is not subscriptable"
3;82438;82439;82437.0;"'NoneType' object is not subscriptable"
3;82660;82661;82659.0;"'NoneType' object is not subscriptable"
2;82891;82892;82890.0;"'NoneType' object is not subscriptable"
3;82894;82895;82893.0;"'NoneType' object is not subscriptable"
3;83248;83249;83247.0;"'NoneType' object is not subscriptable"
2;83353;83354;83352.0;"'NoneType' object is not subscriptable"
3;83482;83483;83481.0;"'NoneType' object is not subscriptable"
3;84310;84311;84309.0;"'NoneType' object is not subscriptable"
3;84388;84389;84387.0;"'NoneType' object is not subscriptable"
2;84709;84710;84708.0;"'NoneType' object is not subscriptable"
3;84946;84947;84945.0;"'NoneType' object is not subscriptable"
3;85234;85235;85233.0;"'NoneType' object is not subscriptable"
2;85393;85394;85392.0;"'NoneType' object is not subscriptable"
3;85396;85397;85395.0;"'NoneType' object is not subscriptable"
3;86182;86183;86181.0;"'NoneType' object is not subscriptable"
2;86227;86228;86226.0;"'NoneType' object is not subscriptable"
3;86686;86687;86685.0;"'NoneType' object is not subscriptable"
3;88102;88103;88101.0;"'NoneType' object is not subscriptable"
2;88141;88142;88140.0;"'NoneType' object is not subscriptable"
2;88261;88262;88260.0;"'NoneType' object is not subscriptable"
2;88375;88376;88374.0;"'NoneType' object is not subscriptable"
3;88378;88379;88377.0;"'NoneType' object is not subscriptable"
2;88423;88424;88422.0;"'NoneType' object is not subscriptable"
3;89704;89705;89703.0;"'NoneType' object is not subscriptable"
3;90088;90089;90087.0;"'NoneType' object is not subscriptable"
2;90337;90338;90336.0;"'NoneType' object is not subscriptable"
2;90361;90362;90360.0;"'NoneType' object is not subscriptable"
3;90364;90365;90363.0;"'NoneType' object is not subscriptable"
2;90385;90386;90384.0;"'NoneType' object is not subscriptable"
3;90442;90443;90441.0;"'NoneType' object is not subscriptable"
2;91393;91394;91392.0;"'NoneType' object is not subscriptable"
2;91873;91874;91872.0;"'NoneType' object is not subscriptable"
2;91897;91898;91896.0;"'NoneType' object is not subscriptable"
3;91900;91901;91899.0;"'NoneType' object is not subscriptable"
3;92152;92153;92151.0;"'NoneType' object is not subscriptable"
2;92299;92300;92298.0;"'NoneType' object is not subscriptable"
3;92428;92429;92427.0;"'NoneType' object is not subscriptable"
2;92629;92630;92628.0;"'NoneType' object is not subscriptable"
3;92632;92633;92631.0;"'NoneType' object is not subscriptable"
3;92920;92921;92919.0;"'NoneType' object is not subscriptable"
3;92926;92927;92925.0;"'NoneType' object is not subscriptable"
2;93829;93830;93828.0;"'NoneType' object is not subscriptable"
3;93880;93881;93879.0;"'NoneType' object is not subscriptable"
3;94048;94049;94047.0;"'NoneType' object is not subscriptable"
3;94252;94253;94251.0;"'NoneType' object is not subscriptable"
2;94591;94592;94590.0;"'NoneType' object is not subscriptable"
2;94717;94718;94716.0;"'NoneType' object is not subscriptable"
3;94840;94841;94839.0;"'NoneType' object is not subscriptable"
2;95041;95042;95040.0;"'NoneType' object is not subscriptable"
3;95044;95045;95043.0;"'NoneType' object is not subscriptable"
3;95578;95579;95577.0;"'NoneType' object is not subscriptable"
3;95674;95675;95673.0;"'NoneType' object is not subscriptable"
