"parents_id";"partners_id";"groom";"father";"bride";"mother";"distance";"length partners";"length parents";"years_between"
16109;39029;234174;96658;234177;96659;0;32;32;23
24143;97173;583038;144862;583041;144863;0;31;31;26
70766;62894;377364;424600;377367;424601;3;52;54;26
93359;39908;239448;560158;239451;560159;3;40;42;24
93359;60782;364692;560155;364695;560156;0;42;42;21
19349;25058;150348;116098;150351;116099;0;32;32;29
12356;96878;581268;74137;581271;74138;0;33;33;28
14839;53750;322500;89035;322503;89036;1;43;42;27
24704;93279;559674;148225;559677;148226;1;34;34;19
61260;28603;171618;367564;171621;367565;1;30;29;30
68420;22204;133224;410521;133227;410522;1;38;38;23
84241;2909;17454;505450;17457;505451;0;40;40;29
87965;21719;130314;527791;130317;527792;3;34;32;29
87965;70422;422532;527794;422535;527795;1;32;31;24
34917;9618;57708;209503;57711;209504;0;30;30;30
71391;85053;510318;428350;510321;428351;0;35;35;27
71391;82647;495882;428347;495885;428348;1;30;31;26
89793;72238;433428;538762;433431;538763;1;24;23;29
11191;68607;411642;67147;411645;67148;3;32;29;27
5341;51590;309540;32047;309543;32048;0;36;36;28
5341;7273;43638;32050;43641;32051;2;30;30;25
50255;40284;241704;301534;241707;301535;1;27;28;24
51686;6434;38604;310120;38607;310121;1;33;34;31
89178;77355;464130;535072;464133;535073;1;29;28;26
68960;10774;64644;413764;64647;413765;0;32;32;23
697;95237;571422;4183;571425;4184;0;35;35;20
6760;89932;539592;40561;539595;40562;1;26;26;26
49882;85135;510810;299296;510813;299297;0;34;34;24
2045;29028;174168;12274;174171;12275;0;35;35;32
4143;62996;377976;24859;377979;24860;0;31;31;32
4143;16008;96048;24862;96051;24863;3;28;29;24
68738;26369;158214;412429;158217;412430;2;32;34;28
68738;96261;577566;412432;577569;412433;3;34;33;27
34450;32808;196848;206704;196851;206705;1;29;28;30
3117;37442;224652;18706;224655;18707;2;37;39;31
81474;27367;164202;488848;164205;488849;1;31;31;23
82791;57259;343554;496750;343557;496751;0;38;38;26
4446;21586;129516;26677;129519;26678;0;37;37;29
8059;26492;158952;48358;158955;48359;0;37;37;32
8059;6513;39078;48355;39081;48356;0;32;32;28
74713;20456;122736;448282;122739;448283;1;40;41;26
70307;82514;495084;421846;495087;421847;3;50;51;27
29594;42591;255546;177565;255549;177566;0;31;31;24
46121;65411;392466;276727;392469;276728;0;55;55;23
60843;13279;79674;365059;79677;365060;1;21;20;32
